Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_113', 'cluster_72', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_65', 'cluster_83', 'cluster_89', 'cluster_124', 'cluster_82', 'cluster_115', 'cluster_67', 'cluster_99', 'cluster_86', 'cluster_90', 'cluster_91', 'cluster_114', 'cluster_71', 'cluster_84', 'cluster_100', 'cluster_125', 'cluster_92', 'cluster_87', 'cluster_130', 'cluster_76', 'cluster_98', 'cluster_97', 'cluster_109', 'cluster_118', 'cluster_88', 'cluster_93', 'cluster_103', 'cluster_104', 'cluster_101', 'cluster_126', 'cluster_116', 'cluster_79', 'cluster_69', 'cluster_74', 'cluster_107', 'cluster_75', 'cluster_95', 'cluster_77', 'cluster_94', 'cluster_96', 'cluster_121', 'cluster_78', 'cluster_102', 'cluster_105', 'cluster_123', 'cluster_122', 'cluster_119', 'cluster_34', 'cluster_120', 'cluster_117', 'cluster_37', 'cluster_106', 'cluster_111', 'cluster_35', 'cluster_80', 'cluster_38', 'cluster_133', 'cluster_134', 'cluster_112', 'cluster_36', 'cluster_32', 'cluster_163', 'cluster_173', 'cluster_181', 'cluster_176', 'cluster_174', 'cluster_175', 'cluster_177', 'cluster_179', 'cluster_178', 'cluster_180', 'cluster_161', 'cluster_172', 'cluster_171']",distance_0,[],"['T1518', 'T1566', 'T1078', 'T1203', 'T1059', 'T1189', 'T1055', 'T1529', 'T1485', 'T1539', 'T1528', 'T1543']",['T1040']
"['cluster_33', 'cluster_34', 'cluster_40', 'cluster_43', 'cluster_70', 'cluster_77']",distance_0.1,[],"['T1518', 'T1566', 'T1078']",['T1040']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_35', 'cluster_36', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_2', 'cluster_40', 'cluster_38', 'cluster_55', 'cluster_39', 'cluster_3', 'cluster_30', 'cluster_61', 'cluster_28', 'cluster_29']",distance_0.1,[],"['T1518', 'T1566']",['T1499']
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_1', 'cluster_18', 'cluster_32', 'cluster_17']",distance_0.2,[],"['T1518', 'T1566']",['T1499']
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_26', 'cluster_11', 'cluster_12', 'cluster_7']",distance_0.2,[],"['T1518', 'T1529', 'T1528', 'T1040']",['T1499']
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_11', 'cluster_12', 'cluster_7']",distance_0.2,[],"['T1518', 'T1528', 'T1040']",['T1499']
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_26', 'cluster_7']",distance_0.2,[],"['T1518', 'T1529', 'T1040']",['T1499']
"['cluster_60', 'cluster_61', 'cluster_113', 'cluster_72', 'cluster_81', 'cluster_115', 'cluster_86', 'cluster_169', 'cluster_126', 'cluster_123', 'cluster_20']",distance_0,[],"['T1518', 'T1059', 'T1548', 'T1083']",['T1078']
"['cluster_33', 'cluster_34', 'cluster_50', 'cluster_41', 'cluster_46', 'cluster_51', 'cluster_47', 'cluster_75', 'cluster_55', 'cluster_53', 'cluster_5']",distance_0.1,[],"['T1518', 'T1059', 'T1548', 'T1083']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_81', 'cluster_82', 'cluster_86', 'cluster_114', 'cluster_84', 'cluster_87', 'cluster_98', 'cluster_109', 'cluster_169', 'cluster_93', 'cluster_108', 'cluster_168']",distance_0,[],"['T1518', 'T1203', 'T1055', 'T1548']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_81', 'cluster_82', 'cluster_86', 'cluster_114', 'cluster_84', 'cluster_87', 'cluster_98', 'cluster_109', 'cluster_169', 'cluster_93', 'cluster_168']",distance_0,[],"['T1518', 'T1203', 'T1055', 'T1548']",['T1078']
"['cluster_33', 'cluster_34', 'cluster_42', 'cluster_46', 'cluster_47', 'cluster_50', 'cluster_48', 'cluster_75', 'cluster_74']",distance_0.1,[],"['T1518', 'T1203', 'T1055', 'T1548']",['T1078']
"['cluster_60', 'cluster_61', 'cluster_73', 'cluster_89', 'cluster_82', 'cluster_84', 'cluster_85', 'cluster_76', 'cluster_77', 'cluster_94', 'cluster_207', 'cluster_206']",distance_0,[],"['T1518', 'T1203', 'T1055', 'T1529']",['T1499']
